"","date","mkt","smb","hml","rmw","cma","umd","me","ia","roe","rf"
"1","2001-07-02",0.000224123855792166,0.000233614434415968,0.00583552290092826,0.00814184053480945,-0.00350793792811606,0.00689027352195497,0.00144085676036384,-0.00162919773183662,0.00388127467274481,6.46575342465753e-05
"2","2001-07-03",0.0141236190947527,0.0246868658322587,0.0128168278003726,0.0213761313981803,0.019681890983907,0.0113471067496587,0.0329881340312784,0.0215377387016664,0.0220343600983109,6.46575342465753e-05
"3","2001-07-04",-0.00115356210468159,0.0135232948318266,0.0153139761002428,0.00555408875769993,0.0117860415654506,0.00654741062259382,0.017386215432043,0.0118511654711232,0.00277634116329956,6.46575342465753e-05
"4","2001-07-05",-0.00477936972505811,-0.0171914277767077,-0.0048366399446162,-0.00688748325404076,-0.00844328079483891,-0.00655914795313444,-0.0167772663135477,-0.00885484209222065,-0.00914281801046724,6.46575342465753e-05
"5","2001-07-09",-0.00135842195172182,-0.00159402385985698,-0.0063388015736429,0.00190521149952391,0.00939075420753401,0.00137761416647175,-0.00239301228369344,-0.000129702514495409,-0.00469248910290025,6.46575342465753e-05
"6","2001-07-10",-0.00255050288069023,-0.00184390542182156,-0.00443923662018065,0.0137892642885715,-0.00908689540785652,-0.00234786468200205,-0.00168805619204184,-0.00713575978366106,0.00225316194923548,6.46575342465753e-05
"7","2001-07-11",-0.0355832986532893,-0.0386999728854719,-0.0490696470731743,-0.0220215288904818,-0.0359912520572494,-0.0290840910452711,-0.0429263839103028,-0.0373878094628587,-0.0296769311065372,6.46575342465753e-05
"8","2001-07-12",0.00791521386222996,0.0169708853059347,0.0117455794945621,0.014564882309517,0.0170302613416842,0.0110831198637224,0.0136955232669652,0.00875757220327178,-0.00048689623570379,6.46575342465753e-05
"9","2001-07-13",-0.00232675879186614,0.00811715668311645,0.00457164478662215,0.0118310117790061,-0.000309982557263003,-0.00588969024812122,0.0141598638672956,0.00296734144335595,0.00659436359778322,6.46575342465753e-05
"10","2001-07-16",-0.0165906399647582,-0.00582570521542519,-0.0116604413318095,-0.0126486294575248,-0.0102262781695536,-0.00223713481278351,-0.0115823355006086,-0.0174601351857987,-0.0168219042964392,6.46575342465753e-05
"11","2001-07-17",0.0197877921096386,0.0338916923717827,0.0295413755877038,0.0176956113096499,0.0276734794334452,0.0209810963138855,0.0349248868917833,0.0333188001020565,0.0260269900530906,6.46575342465753e-05
"12","2001-07-18",-0.000253702223066903,0.0139067509414062,0.0104974112825735,-0.00277459486773961,0.0118295402095522,0.0046157065027505,0.00854226396902566,0.00994828571274532,0.00286180933280151,6.46575342465753e-05
"13","2001-07-19",0.00272077989653204,0.00853151976363461,0.0126990597109623,-0.00124298657000026,-0.000903833697885343,-0.000284034048603608,0.0177565018441208,0.00299835708810875,0.00273788611123992,6.46575342465753e-05
"14","2001-07-20",-0.0124736816019686,-0.0141167341429119,-0.0144087359212745,-0.00464429263962293,-0.0140029619074995,-0.00207408386693518,-0.012172022402954,-0.0105870313883922,-0.0128174445537014,6.46575342465753e-05
"15","2001-07-23",-0.00918082442582688,-0.00694794118359714,-0.0180656355221018,-0.0102311847268725,-0.0125881084982217,-0.00628667667841255,-0.0103980899277906,-0.0128222016256815,-0.00432767921637917,6.46575342465753e-05
"16","2001-07-24",-0.00243647300826622,0.0110940162367772,0.00882298698811914,-0.00406854246280937,0.0017543864725662,0.00254206897343019,0.0122926815480069,0.00492779423981402,0.00165289015659006,6.46575342465753e-05
"17","2001-07-25",-0.0026454546736629,0.0139199984778384,0.011578415908725,0.00443168457282864,0.00541633290216856,0.00444764659008909,0.0172671319951948,0.0105780831708193,0.00894058650317156,6.46575342465753e-05
